source,target,weight
lloyds list,lloyds list,314693
billboard,billboard,97850
new lloyds list,new lloyds list,91271
journal of biological chemistry,journal of biological chemistry,61268
nature,science,51706
nature,pnas,43631
gaceta de madrid,gaceta de madrid,41051
nature,nature,40593
journal of biological chemistry,pnas,40297
cretaceous research,cretaceous research,34379
pnas,science,33636
science,science,30823
pnas,pnas,28310
journal of biological chemistry,nature,24171
flight international,flight international,22520
cretaceous research,zootaxa,21597
cell,journal of biological chemistry,18217
the cochrane database of systematic reviews,the cochrane database of systematic reviews,17781
professional school counseling,professional school counseling,17615
cell,nature,16761
boletxedn oficial del estado,boletxedn oficial del estado,15963
flight,flight,15518
cell,pnas,14544
plos one,pnas,14383
nature,plos one,14283
journal of biological chemistry,oncogene,14178
journal of biological chemistry,science,13818
the astrophysical journal,the astrophysical journal,13679
the new york times,the new york times,12562
the new yorker,the new yorker,12392
official journal of the european union,official journal of the european union,12190
journal of biological chemistry,molecular and cellular biology,11605
cell,science,11423
plos one,science,11379
journal of biological chemistry,mol cell biol,11300
journal of vertebrate paleontology,plos one,10623
cretaceous research,paleontological journal,10539
genomics,journal of biological chemistry,10360
plos one,plos one,10247
zootaxa,zootaxa,10010
biochemistry,journal of biological chemistry,9961
monthly notices of the royal astronomical society,the astrophysical journal,9946
journal of vertebrate paleontology,journal of vertebrate paleontology,9719
genome res,pnas,9621
journal of the bombay natural history society,journal of the bombay natural history society,9605
cretaceous research,historical biology an international journal of paleobiology,9137
inside soap,inside soap,8953
icarus,science,8856
journal of biological chemistry,the biochemical journal,8813
cretaceous research,journal of systematic palaeontology,8693
cretaceous research,scientific reports,8497
cretaceous research,palaeoentomology,8479
analog science fiction and fact,analog science fiction and fact,8309
cretaceous research,peerj,8301
gene,journal of biological chemistry,8223
plos one,scientific reports,8180
astronomy and astrophysics,the astrophysical journal,8135
genome res,journal of biological chemistry,8131
boletxedn oficial del estado,gaceta de madrid,8036
the astronomical journal,the astrophysical journal,8034
biochemical and biophysical research communications,journal of biological chemistry,8008
biographical memoirs of fellows of the royal society,biographical memoirs of fellows of the royal society,7900
cell,cell,7812
physical review letters,physical review letters,7785
journal of the american chemical society,journal of the american chemical society,7781
journal of biological chemistry,the embo journal,7649
biochem biophys res commun,journal of biological chemistry,7519
slavic review,the slavonic and east european review,7433
bmj,lancet,7369
journal of vertebrate paleontology,peerj,7354
lancet,lancet,7311
embo j,journal of biological chemistry,7287
lancet,the cochrane database of systematic reviews,7201
nature,nature communications,7118
cretaceous research,journal of vertebrate paleontology,7086
pnas,scientific reports,7026
cretaceous research,plos one,6886
paleontological journal,zootaxa,6859
nature,the astrophysical journal,6644
bahxe1u02bcxed news,bahxe1u02bcxed news,6560
nature,scientific reports,6368
blood,journal of biological chemistry,6226
slavic review,slavic review,6204
astronomy and astrophysics,astronomy and astrophysics,6172
journal of vertebrate paleontology,scientific reports,6080
icarus,icarus,6069
physical review d,physical review letters,6052
acta palaeontologica polonica,journal of vertebrate paleontology,6002
alcheringa an australasian journal of palaeontology,cretaceous research,5888
astronomy  astrophysics,the astrophysical journal,5801
peerj,plos one,5764
peerj,scientific reports,5754
genomics,pnas,5699
slavic review,the journal of modern history,5693
nature communications,science,5664
cretaceous research,journal of paleontology,5539
astronomy and astrophysics,monthly notices of the royal astronomical society,5535
journal of paleontology,journal of vertebrate paleontology,5499
journal of human evolution,pnas,5477
historical biology an international journal of paleobiology,journal of vertebrate paleontology,5452
oncogene,pnas,5434
genome res,nature,5429
gene,pnas,5397
bmj,bmj,5386
journal of human evolution,nature,5332
febs letters,journal of biological chemistry,5322
icarus,nature,5297
current biology,nature,5259
nature communications,pnas,5182
nucleic acids research,pnas,5172
febs lett,journal of biological chemistry,5161
acta palaeontologica polonica,cretaceous research,5142
inside soap,tv week,5128
folklore,folklore,5092
science,scientific reports,5079
journal of human evolution,plos one,5056
cretaceous research,zookeys,5048
nucleic acids research,nucleic acids research,4993
russian review,slavic review,4935
journal of systematic palaeontology,journal of vertebrate paleontology,4922
journal of biological chemistry,plos one,4877
journal of vertebrate paleontology,nature,4863
mycologia,mycologia,4838
genome res,genome res,4833
nature,nature genetics,4833
nature,physical review letters,4828
biochimica et biophysica acta,journal of biological chemistry,4828
journal of vertebrate paleontology,zoological journal of the linnean society,4785
flight,flight international,4751
molecular and cellular biology,pnas,4672
current biology,pnas,4665
tv week,tv week,4662
the journal of the acoustical society of america,the journal of the acoustical society of america,4654
nature,nucleic acids research,4597
journal of vertebrate paleontology,palaeontology,4552
journal of systematic palaeontology,zootaxa,4546
journal of biological chemistry,the journal of cell biology,4523
journal of biological chemistry,molecular cell,4446
historical biology an international journal of paleobiology,scientific reports,4442
historical biology an international journal of paleobiology,peerj,4441
biochemistry,pnas,4415
nat genet,pnas,4407
journal of biological chemistry,nucleic acids research,4398
journal of paleontology,paleontological journal,4382
mol cell biol,pnas,4369
the gazette of the democratic socialist republic of sri lanka,the gazette of the democratic socialist republic of sri lanka,4327
journal of paleontology,plos one,4321
journal of human evolution,journal of human evolution,4308
journal of biological chemistry,nat genet,4308
j cell biol,journal of biological chemistry,4286
journal of geophysical research,science,4245
acta palaeontologica polonica,plos one,4240
zookeys,zootaxa,4190
scientific reports,scientific reports,4172
gigascience,nature,4168
genome res,nat genet,4156
physical review d,physical review d,4126
current biology,science,4119
cretaceous research,palaeontologia electronica,4093
journal of paleontology,scientific reports,4082
journal of paleontology,zootaxa,4014
journal of human evolution,scientific reports,3977
physical review b,physical review letters,3968
pnas,the embo journal,3957
cancer research,journal of biological chemistry,3926
journal of personality and social psychology,journal of personality and social psychology,3910
bmj,the cochrane database of systematic reviews,3898
cretaceous research,zoological journal of the linnean society,3885
genes  development,journal of biological chemistry,3865
monthly notices of the royal astronomical society,monthly notices of the royal astronomical society,3852
historical biology an international journal of paleobiology,plos one,3824
lancet,nature,3823
journal of human evolution,science,3822
nature communications,scientific reports,3795
palaeogeography palaeoclimatology palaeoecology,scientific reports,3734
nature communications,plos one,3730
econometrica,econometrica,3695
bioinformatics,bioinformatics,3660
genome research,nature,3631
journal of biological chemistry,journal of molecular biology,3630
monthly notices of the royal astronomical society,the astronomical journal,3618
cretaceous research,palaeontology,3611
the journal of modern history,the slavonic and east european review,3601
nucleic acids res,pnas,3597
russian history,slavic review,3597
astronomy and astrophysics,the astronomical journal,3595
science,the astrophysical journal,3592
plos one,zootaxa,3584
journal of counseling  development,professional school counseling,3583
physical review letters,science,3570
spine,spine,3540
journal of biological chemistry,nucleic acids res,3537
current biology,plos one,3467
journal of systematic palaeontology,plos one,3464
biochem biophys res commun,pnas,3453
nature,oncogene,3451
astronomy  astrophysics,astronomy and astrophysics,3436
journal of paleontology,palaeontology,3428
gene,nature,3425
genomics,nature,3416
peerj,peerj,3399
cretaceous research,nature communications,3392
the record,the record,3378
nucleic acids research,science,3376
alcheringa an australasian journal of palaeontology,zootaxa,3357
bioinformatics,nucleic acids research,3342
journal of paleontology,journal of paleontology,3329
journal of biological chemistry,journal of immunology,3329
journal of systematic palaeontology,paleontological journal,3327
nature genetics,pnas,3323
nature,the embo journal,3312
astronomy  astrophysics,monthly notices of the royal astronomical society,3311
angewandte chemie international edition,journal of the american chemical society,3307
cretaceous research,proceedings of the royal society b biological sciences,3302
cell,molecular and cellular biology,3302
cretaceous research,current biology,3293
journal of vertebrate paleontology,science,3286
journal of virology,pnas,3280
journal of vertebrate paleontology,pnas,3269
geophysical research letters,science,3263
journal of molecular biology,pnas,3259
journal of paleontology,journal of systematic palaeontology,3245
cancer res,journal of biological chemistry,3241
palaeoentomology,zootaxa,3236
journal of vertebrate paleontology,paleontological journal,3202
malakozoologische blxe4tter,sitzungsberichte der gesellschaft naturforschender freunde zu berlin,3195
biochim biophys acta,journal of biological chemistry,3192
plos one,proceedings of the royal society b biological sciences,3176
journal of vertebrate paleontology,palaeontologia electronica,3167
historical biology an international journal of paleobiology,zootaxa,3158
plos one,zoological journal of the linnean society,3157
nature genetics,science,3154
gigascience,gigascience,3149
cell,oncogene,3147
blood,pnas,3134
molecular and cellular biology,nature,3131
jama,the cochrane database of systematic reviews,3130
the astronomical journal,the astronomical journal,3130
acta palaeontologica polonica,peerj,3123
embo j,pnas,3120
gene,genome res,3120
paleontological journal,plos one,3110
the skeptic,the skeptic,3104
pnas,the biochemical journal,3103
genome research,pnas,3032
blood,blood,3020
acta palaeontologica polonica,journal of paleontology,3019
cell,plos one,3014
journal of vertebrate paleontology,zootaxa,3010
journal of biological chemistry,nature genetics,3008
journal of virology,journal of virology,3008
icarus,journal of geophysical research,3006
nucleic acids res,nucleic acids res,3005
journal of biological chemistry,mol cell,3004
journal of vertebrate paleontology,proceedings of the royal society b biological sciences,3004
molecular biology and evolution,pnas,2999
cell,nucleic acids research,2989
cretaceous research,earth and environmental science transactions of the royal society of edinburgh,2984
oncogene,oncogene,2972
cretaceous research,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,2961
journal of paleontology,peerj,2961
cretaceous research,systematic entomology,2953
journal of vertebrate paleontology,palaeogeography palaeoclimatology palaeoecology,2952
the cochrane database of systematic reviews,the new england journal of medicine,2936
folklore,man,2935
acta palaeontologica polonica,scientific reports,2933
mol cell biol,nature,2933
geology,science,2927
biochemical and biophysical research communications,pnas,2927
the astrophysical journal,the astrophysical journal letters,2923
nature,plos biology,2922
palaeogeography palaeoclimatology palaeoecology,pnas,2921
lpsn,wwwuniprotorg,2919
journal of systematic palaeontology,scientific reports,2908
palaeontology,plos one,2897
genes  development,pnas,2897
europeasia studies,slavic review,2891
russian review,the slavonic and east european review,2886
paleontological journal,paleontological journal,2879
